1-01      Pilot
1-02      Big Flappy Bastards
1-03      Go East on Sunset Until You Reach the Gates of Hell
1-04      If I Can't Write My Chocolate Song I'm Going to Take a Nap
1-05      The Last Thing You Want Is to Wind Up With a Hump
1-06      Did You Check With the Captain of the Flying Monkeys?
1-07      If They Do Go Either Way, They're Usually Fake
1-08      Twenty-Five Little Pre-pubers Without a Snoot-ful
1-09      Phase One, Complete
1-10      Merry Thanksgiving
1-11      Alan Harper, Frontier Chiropractor
1-12      Camel Filters + Pheromones
1-13      Sara Like Puny Alan
1-14      I Can't Afford Hyenas
1-15      Round One to the Hot Crazy Chick (1)
1-16      That Was Saliva, Alan (2)
1-17      Ate The Hamburgers, Wearing The Hats
1-18      An Old Flame With a New Wick
1-19      I Remember the Coatroom, I Just Don't Remember You
1-20      Hey, I Can Pee Outside in the Dark
1-21      No Sniffing, No Wowing
1-22      My Doctor has a Cow Puppet
1-23      Just Like Buffalo
1-24      Can You Feel My Finger?
