
   01 -Soulja Boy Talks                          [00:55]
   02 -I'm So Fucking Gully                      [04:03]
   03 -Holiday Season                            [02:55]
   04 -I Look Good                               [04:26]
   05 -Hottest Rapper on the Planet              [03:47]
   06 -Swag Flu (Feat. Gucci Mane and Birdman)   [04:06]
   07 -Go Get Money                              [04:28]
   08 -Soulja Boy Talks Pt. 2                    [00:56]
   09 -Twitter Goin Ham                          [05:29]
   10 -Over Kill                                 [02:36]
   11 -Turnt Up (Feat. Roscoe)                   [04:46]
   12 -Datpiff                                   [03:40]
   13 -360 Dimensions of A Bitch                 [02:10]
   14 -Outer Space (Feat. S.O.D.)                [03:18]
   15 -Soulja Boy Talks Pt. 3                    [00:36]
   16 -Play Ball (Feat. Drake)                   [03:10]
   17 -Wasted Freestyle                          [04:11]
   18 -Poppin Tags                               [03:08]
   19 -Soulja Boy Outro                          [04:51]



                                            Time:[63:31]min
                                            Size:[ 87,4]MB


