User Type,Username,Date,Text
,Theguns,2010-11-11T18:37Z,"here is the track listing

âœ“	Ride Tonight (Ft. Afika)	3:21	K.O. Kid				1
âœ“	EPIC	3:34	 Afika Nx				
âœ“	Wolfpack Party	5:05	The Pack	Wolfpack Party	Hip-Hop/Rap		1
âœ“	Gone	3:07	Donnis	Gone - EP	Hip Hop/Rap		
âœ“	Tweeters	4:22	Dow Jones		Other		
âœ“	The Plan	3:07	K.O. Kid	Dr.'s Orders			
âœ“	Nothing On We	3:28	Chiddy Bang	The Preview	Hip-Hop		1
âœ“	Soundtrack 2 My Life	3:56	KiD CuDi	Man On The Moon: The End Of Day	Hip-Hop/Rap		1
âœ“	Hey London	3:07	Chiddy Bang	Air Swell	Hip Hop		1
âœ“	The New Colossus	5:28	Kinetics & One Love	Fading Back To Normal			1
âœ“	Erase Me (Feat. Kanye West)	3:00	Kid Cudi	Man on the Moon II: The Legend of Mr. Rager	Hip-Hop		2
âœ“	Never (Remix Ft. XV & Killer Mike)	3:57	Chiddy Bang	Never (Remix)			1
âœ“	Don't Worry Be Happy	3:05	Chiddy Bang	Mashup Mondays			3
âœ“	Satellite	4:03	B.o.B	B.o.B Presents: The Adventures of Bobby Ray	Hip-Hop/Rap		1
âœ“	High Noon	5:16	Kinetics	The Kinetics EP			
âœ“	Everybody's Nobody	3:10	XV	V For Vizzy (The Best Of XV)	Rap		1
âœ“	I Hate College	2:56	DJ Stretch Armstrong Presents: Dirt Nasty	The White Album			
âœ“	PlayGround (Explicit)	2:32	The Dean's List	BroBible Exclusive - The Dean's List	The Dean's List		
âœ“	Butterfly Effect	4:45	Kinetics & One Love	Fading Back To Normal			
âœ“	Makes Me Wounder	3:42	Angry Mic				
âœ“	Get on Board	3:56	e-dubble	Freestyle Friday	[Hip-Hop/Rap]		4
âœ“	Repeat (Explicit)	2:33	The Dean's List	The Dean's List	The Dean's List		
âœ“	Symphonies feat Kid Cudi	3:43	Dan Black	un - final US master			
âœ“	Sun Setter	3:23	LOGGY	NEW KID	CHILL HOP		
âœ“	1997	3:34	XV	V For Vizzy (The Best Of XV)	Rap		1
âœ“	Sorority Girls (ft. Jordan Brown)	4:18	The Dean's List				1
âœ“	Make Noise	4:13	AudioDax	Make Noise	Electronic Pop Hop		9
âœ“	20 Miles	3:44	Deer Tick	SPIN Presents Park Life: A Lollapalooza '10 Mixtape	Compilation		
âœ“	Sittin At A Bar	3:37	Rehab	Sittin At A Bar	Rock		
âœ“	Mirror's Edge	3:43	XV				
âœ“	Old Ways	2:32	Chiddy Bang	The Preview	Hip-Hop		
âœ“	Automatic	3:40	e-dubble	Freestyle Friday	Hip-Hop		3
âœ“	IMMA ZOE	4:39	BLACK DADA				"
,ItsAMFknBEAST,2010-12-10T00:07Z,i loved this so much! Please make a sequel this music is so good!!!!!!
