User Type,Username,Date,Text
,pooper55,2010-06-27T20:23Z,"lil candy, AKA mandy main"
,raleigh109,2010-06-27T21:30Z,"Mindy Main (Lil Candy)

Performer AKA	Mandy Main
Birthday	April 30, 1986
Astrology	Taurus 
Birthplace	Olympia, Washington 
Years Active	2006-2009 (Started around 20 years old)
Ethnicity	Caucasian
Nationality/Heritage	American
Hair Color	Brown
Measurements	34D-24-36
Height	5 feet, 4 inches (163 cm)
Weight	116 lbs (53 kg)
Tattoos	Tribal Like Design On Lower Back
Non-Ear Piercings	Monroe"
