New Upload

General Information
===================
 Title:                  Too Much Heaven - Songs Of The
 Author:                 Bee Gees
 Copyright:              2004
 Genre:                  General Pop

Original Media Information
==========================

File Information
================
 Number of MP3s:         61
 Total Duration:         3:48:13
 Total MP3 Size:         314,85 MB
 Files Created on:       18-ago-2010  14:16:13
 Encoded At:             CBR 192 kbit/s 44 KHz Stereo
 ID3 Tags:               Set, v1.1, v2.3
 
Posting
=======
 Posting date:           17-oct-2010

MP3 File List
=============
     Size MB  Duration  File Name
01      4,04  0:02:55   01 - Bee Gees - Spicks And Specks.mp3
02      3,01  0:02:11   02 - Bee Gees - New York Mining Disaster 1941.mp3
03      5,17  0:03:45   03 - Bee Gees - I Cant See Nobody.mp3
04      4,15  0:03:00   04 - Bee Gees - To Love Somebody.mp3
05      4,01  0:02:54   05 - Bee Gees - Holiday.mp3
06      3,33  0:02:24   06 - Bee Gees - Massachusetts.mp3
07      4,52  0:03:17   07 - Bee Gees - Words.mp3
08      3,94  0:02:51   08 - Bee Gees - Ive Gotta Get A Message To You.mp3
09      4,35  0:03:09   09 - Bee Gees - I Started A Joke.mp3
10      3,91  0:02:50   10 - Bee Gees - First Of May.mp3
11      5,23  0:03:48   11 - Bee Gees - Lonely Days.mp3
12      5,47  0:03:58   12 - Bee Gees - How Can You Mend A Broken Heart.mp3
13      5,99  0:04:21   13 - Bee Gees - My World.mp3
14      4,43  0:03:12   14 - Bee Gees - Run To Me.mp3
15      5,78  0:04:11   15 - Bee Gees - Saw A New Morning.mp3
16      5,05  0:03:40   16 - Bee Gees - Wouldnt I Be Someone [DJ Stereo Single Edit].mp3
17      5,01  0:03:38   17 - Bee Gees - Mr. Natural [Commercial Single Edit].mp3
18      5,18  0:03:45   18 - Bee Gees - Jive Talkin.mp3
19      4,52  0:03:17   19 - Bee Gees - NIghts On Broadway [DJ Stereo Single Edit].mp3
20      7,41  0:05:23   20 - Bee Gees - Edge Of The Universe.mp3
21      4,89  0:03:33   21 - Bee Gees - Fanny (Be Tender With My Love) [Commercial Single Edit].mp3
22      4,93  0:03:34   22 - Bee Gees - Love So Right [Commercial Single Edit].mp3
23      1,32  0:00:57   23 - Bee Gees - Another Cold And Windy Day [Coca Cola Jingle Edit].mp3
24      5,88  0:04:16   01 - Bee Gees - You Should Be Dancing.mp3
25      4,93  0:03:34   02 - Bee Gees - How Deep Is Your Love [Commercial Single Edit].mp3
26      5,05  0:03:39   03 - Bee Gees - Stayin Alive [Commercial Single Edit].mp3
27      4,82  0:03:29   04 - Bee Gees - Night Fever.mp3
28      4,53  0:03:17   05 - Bee Gees - More Than A Woman.mp3
29      5,32  0:03:51   06 - Bee Gees - Too Much Heaven [DJ Stereo Single Edit].mp3
30      5,80  0:04:12   07 - Bee Gees - Tragedy [DJ Mono Single Edit].mp3
31      5,31  0:03:51   08 - Bee Gees - Love You Inside Out [Commercial Single Edit].mp3
32      5,60  0:04:04   09 - Bee Gees - Spirits Having Flown [U.K. Commercial Single Edit].mp3
33      5,95  0:04:19   10 - Bee Gees - Living Eyes.mp3
34      6,53  0:04:44   11 - Barry Gibb - Shine Shine.mp3
35      5,42  0:03:56   12 - Bee Gees - You Win Again [Commercial Single Edit].mp3
36      6,21  0:04:30   13 - Barry Gibb - My Eternal Love.mp3
37      5,91  0:04:17   14 - Bee Gees - One [Commercial Single Edit].mp3
38      5,01  0:03:38   15 - Bee Gees - Secret Love.mp3
39      6,01  0:04:21   16 - Bee Gees - Alone [Commercial Single Mix].mp3
40      5,54  0:04:01   17 - Bee Gees - My Lovers Prayer.mp3
41      4,98  0:03:37   18 - Maurice Gibb   Barry Gibb - Love Is Blind [Demo].mp3
42      5,46  0:03:58   19 - Bee Gees - This Is Where I Came In [DJ Stereo Single Edit].mp3
43      3,87  0:02:48   01 - The Marbles - Only One Woman.mp3
44      5,20  0:03:46   02 - Andy Gibb - I Just Want To Be Your Everything.mp3
45      5,89  0:04:17   03 - Andy Gibb - (Love Is) Thicker Than Water.mp3
46      5,46  0:03:57   04 - Samantha Sang - Emotion.mp3
47      4,11  0:02:59   05 - Yvonne Elliman - If I Cant Have You.mp3
48      6,29  0:04:34   06 - Andy Gibb - Shadow Dancing.mp3
49      4,73  0:03:26   07 - Frankie Valli - Grease.mp3
50      5,70  0:04:08   08 - Andy Gibb - Everlasting Love.mp3
51      5,70  0:04:08   09 - Andy Gibb - (Our Love) Dont Throw It All Away.mp3
52      6,21  0:04:30   10 - Andy Gibb - Desire.mp3
53      5,72  0:04:09   11 - Andy Gibb & Olivia Newton-John - I Cant Help It.mp3
54      5,33  0:03:52   12 - Barbra Streisand - Woman In Love.mp3
55      6,08  0:04:25   13 - Barbra Streisand & Barry Gibb - Guilty.mp3
56      5,67  0:04:07   14 - Barbra Streisand & Barry Gibb - What Kind Of Fool.mp3
57      5,89  0:04:16   15 - Dionne Warwick - Heartbreaker.mp3
58      5,75  0:04:10   16 - Kenny Rogers & Dolly Parton - Islands In The Stream.mp3
59      5,27  0:03:49   17 - Diana Ross - Chain Reaction.mp3
60      6,30  0:04:34   18 - Bunburys - Fight (No Matter How Long).mp3
61      5,77  0:04:11   19 - Celine Dion & Bee Gees - Immortality.mp3
