Artist     : Lemar
Album      : Hits
Year       : 2010
Genre      : R&B
Encoder    : LAME 3.97 -V2 --Vbr-New
Bitrate    : VBRkbps
Tracks     : 15
Size       : 76,3 MB
Playtime   : 55:20 Min

Tracklist:

01. Dance (With U)                                               03:10
02. 50/50                                                        03:26
03. Another Day                                                  04:04
04. Lullaby                                                      03:22
05. If There's Any Justice                                       03:47
06. Time To Grow                                                 03:45
07. It's Not That Easy                                           03:23
08. Someone Should Tell You                                      03:45
09. If She Knew                                                  04:10
10. Weight Of The World                                          04:17
11. Mayday                                                       03:34
12. The Way Love Goes                                            03:33
13. You Don't Love Me                                            03:39
14. Coming Home                                                  03:44
15. What About Love (Feat. JLS)                                  03:41
